DATAFLOW,LAST UPDATE,freq,unit,nace_r2,lcstruct,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2017,14.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2018,8.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2019,4.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2020,10.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2021,7.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2022,20.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2023,8.3,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2024,6.8,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Bulgaria,2025,10.1,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2016,5.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2017,3.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2018,17.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2019,-7.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2020,-1.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2021,9.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2022,0.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2023,9.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2024,4.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Cyprus,2025,2.3,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2016,0.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2017,5.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2018,7.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2019,3.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2020,6.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2021,1.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2022,8.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2023,9.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2024,3.8,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Czechia,2025,4.7,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2016,0.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2017,2.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2018,0.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2019,3.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2020,-2.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2021,1.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2022,9.0,b,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2023,7.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2024,4.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Germany,2025,-1.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2016,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2017,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2018,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2019,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2020,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2021,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2022,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2023,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2024,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Denmark,2025,,,C
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,1.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,1.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,1.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,2.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,2.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,0.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,3.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,4.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,4.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,2.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2016,1.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2017,1.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2018,1.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2019,2.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2020,2.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2021,0.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2022,3.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2023,4.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2024,4.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area - 19 countries  (2015-2022),2025,2.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2016,1.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2017,0.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2018,1.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2019,2.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2020,2.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2021,0.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2022,3.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2023,4.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2024,4.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Euro area – 20 countries (2023-2025),2025,2.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2016,1.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2017,9.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2018,7.0,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2019,4.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2020,-0.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2021,6.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2022,8.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2023,9.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2024,5.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Estonia,2025,5.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2016,2.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2017,3.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2018,1.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2019,6.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2020,-2.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2021,-1.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2022,-5.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2023,1.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2024,20.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Greece,2025,5.6,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2016,5.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2017,0.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2018,-2.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2019,2.2,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2020,7.7,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2021,0.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2022,-6.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2023,1.9,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2024,4.1,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),Spain,2025,3.7,p,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,0.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,4.3,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,3.8,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,3.5,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,4.4,,
ESTAT:LC_LCI_R2_A$DEFAULTVIEW(1.0),17/09/24 23:00:00,Annual,Percentage change on previous period,Mining and quarrying,Wages and salaries (total),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,2.4,,
